target,source,flowunique,flow,hour
SBSZ05,SBSZ01,43,43,8
SBSZ05,SBSZ03,69,69,8
SBSZ05,SBSZ04,93,93,8
SBSZ05,SBSZ05,267,294,8
SBSZ05,SBSZ06,85,85,8
SBSZ05,SBSZ07,58,58,8
SBSZ05,WDSZ03,57,57,8
SBSZ05,YSSZ02,150,159,8
SBSZ05,YSSZ09,176,181,8
SBSZ05,SBSZ01,51,54,12
SBSZ05,SBSZ02,65,66,12
SBSZ05,SBSZ03,100,103,12
SBSZ05,SBSZ04,78,81,12
SBSZ05,SBSZ05,304,344,12
SBSZ05,SBSZ06,84,82,12
SBSZ05,SBSZ07,43,45,12
SBSZ05,WDSZ01,54,54,12
SBSZ05,WDSZ03,59,59,12
SBSZ05,YSSZ01,72,72,12
SBSZ05,YSSZ02,193,190,12
SBSZ05,YSSZ04,54,55,12
SBSZ05,YSSZ09,259,259,12
SBSZ05,SBSZ01,51,53,16
SBSZ05,SBSZ02,41,42,16
SBSZ05,SBSZ03,90,89,16
SBSZ05,SBSZ04,78,77,16
SBSZ05,SBSZ05,246,262,16
SBSZ05,SBSZ06,49,50,16
SBSZ05,WDSZ01,73,72,16
SBSZ05,WDSZ03,62,61,16
SBSZ05,YSSZ01,93,92,16
SBSZ05,YSSZ02,193,204,16
SBSZ05,YSSZ04,45,46,16
SBSZ05,YSSZ09,215,211,16
SBSZ05,ORSZ02,49,49,20
SBSZ05,SBSZ01,45,45,20
SBSZ05,SBSZ02,58,59,20
SBSZ05,SBSZ03,77,77,20
SBSZ05,SBSZ04,41,41,20
SBSZ05,SBSZ05,201,215,20
SBSZ05,WDSZ01,42,43,20
SBSZ05,WDSZ03,49,49,20
SBSZ05,YSSZ01,69,68,20
SBSZ05,YSSZ02,162,162,20
SBSZ05,YSSZ09,159,159,20
PLSZ04,BDSZ01,80,84,8
PLSZ04,HGSZ02,412,414,8
PLSZ04,HGSZ04,49,49,8
PLSZ04,HGSZ07,575,586,8
PLSZ04,HGSZ08,51,51,8
PLSZ04,HGSZ09,49,50,8
PLSZ04,PLSZ03,134,140,8
PLSZ04,PLSZ04,504,574,8
PLSZ04,PLSZ05,82,86,8
PLSZ04,BDSZ01,63,65,12
PLSZ04,HGSZ01,65,63,12
PLSZ04,HGSZ02,419,443,12
PLSZ04,HGSZ07,556,567,12
PLSZ04,HGSZ08,65,65,12
PLSZ04,HGSZ09,65,65,12
PLSZ04,PLSZ03,146,149,12
PLSZ04,PLSZ04,549,617,12
PLSZ04,PLSZ05,78,80,12
PLSZ04,BDSZ01,42,42,16
PLSZ04,HGSZ01,70,70,16
PLSZ04,HGSZ02,479,506,16
PLSZ04,HGSZ07,431,441,16
PLSZ04,HGSZ08,58,59,16
PLSZ04,PLSZ03,136,143,16
PLSZ04,PLSZ04,571,637,16
PLSZ04,PLSZ05,62,63,16
PLSZ04,BDSZ01,42,42,20
PLSZ04,HGSZ01,65,65,20
PLSZ04,HGSZ02,481,498,20
PLSZ04,HGSZ07,416,424,20
PLSZ04,PGSZ04,42,43,20
PLSZ04,PLSZ03,149,154,20
PLSZ04,PLSZ04,447,501,20
PLSZ04,PLSZ05,82,84,20
BMSZ07,BKSZ09,54,54,8
BMSZ07,BMSZ01,146,144,8
BMSZ07,BMSZ02,149,149,8
BMSZ07,BMSZ03,209,209,8
BMSZ07,BMSZ04,101,101,8
BMSZ07,BMSZ05,47,47,8
BMSZ07,BMSZ07,749,815,8
BMSZ07,BMSZ08,234,234,8
BMSZ07,BMSZ09,155,154,8
BMSZ07,BMSZ10,140,142,8
BMSZ07,BMSZ11,70,72,8
BMSZ07,BMSZ12,69,69,8
BMSZ07,BMSZ13,153,154,8
BMSZ07,BMSZ14,165,163,8
BMSZ07,BMSZ15,72,70,8
BMSZ07,BMSZ16,80,78,8
BMSZ07,BSSZ01,81,81,8
BMSZ07,BTSZ06,42,42,8
BMSZ07,BTSZ07,42,42,8
BMSZ07,BTSZ08,55,55,8
BMSZ07,CKSZ05,41,41,8
BMSZ07,CLSZ04,82,84,8
BMSZ07,CLSZ06,51,51,8
BMSZ07,CLSZ07,46,46,8
BMSZ07,CLSZ08,68,68,8
BMSZ07,GLSZ04,70,69,8
BMSZ07,GLSZ05,46,46,8
BMSZ07,JWSZ03,69,69,8
BMSZ07,JWSZ04,66,65,8
BMSZ07,JWSZ08,85,85,8
BMSZ07,JWSZ09,117,117,8
BMSZ07,ORSZ02,47,47,8
BMSZ07,OTSZ01,50,50,8
BMSZ07,OTSZ03,85,86,8
BMSZ07,QTSZ01,77,77,8
BMSZ07,QTSZ02,62,62,8
BMSZ07,QTSZ04,189,186,8
BMSZ07,QTSZ05,262,257,8
BMSZ07,QTSZ06,354,346,8
BMSZ07,QTSZ07,47,47,8
BMSZ07,QTSZ08,135,135,8
BMSZ07,QTSZ09,40,41,8
BMSZ07,QTSZ10,42,42,8
BMSZ07,QTSZ11,43,45,8
BMSZ07,QTSZ12,101,103,8
BMSZ07,QTSZ13,43,43,8
BMSZ07,QTSZ14,128,131,8
BMSZ07,TNSZ01,41,41,8
BMSZ07,TNSZ02,96,96,8
BMSZ07,TNSZ03,46,47,8
BMSZ07,TNSZ04,69,68,8
BMSZ07,WCSZ01,51,51,8
BMSZ07,BDSZ04,51,51,12
BMSZ07,BKSZ02,47,49,12
BMSZ07,BKSZ05,42,42,12
BMSZ07,BKSZ07,58,58,12
BMSZ07,BKSZ08,45,45,12
BMSZ07,BKSZ09,41,41,12
BMSZ07,BMSZ01,332,336,12
BMSZ07,BMSZ02,211,208,12
BMSZ07,BMSZ03,246,246,12
BMSZ07,BMSZ04,139,136,12
BMSZ07,BMSZ05,59,59,12
BMSZ07,BMSZ07,883,952,12
BMSZ07,BMSZ08,207,209,12
BMSZ07,BMSZ09,301,300,12
BMSZ07,BMSZ10,275,275,12
BMSZ07,BMSZ11,86,86,12
BMSZ07,BMSZ12,58,58,12
BMSZ07,BMSZ13,209,220,12
BMSZ07,BMSZ14,153,151,12
BMSZ07,BMSZ15,92,92,12
BMSZ07,BMSZ16,89,89,12
BMSZ07,BPSZ02,53,54,12
BMSZ07,BPSZ05,62,62,12
BMSZ07,BSSZ01,99,100,12
BMSZ07,BSSZ03,80,80,12
BMSZ07,BTSZ01,92,93,12
BMSZ07,BTSZ07,50,50,12
BMSZ07,BTSZ08,40,41,12
BMSZ07,CHSZ03,50,50,12
